symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
BDPT,,,,,,,,,,,,
BIOAQ,,,,,,,,,,,,
BASI,,,,,,,,,,,,
ORPN,,,,,,,,,,,,
BCDA,,,,,,,,,,,,
BIOC,,,,,,,,,,,,
BICX,,,,,,,,,,,,
BCRX,,,,,,,,,,,,
BICB,,,,,,,,,,,,
BDSI,,,,,,,,,,,,
BOTH,,,,,,,,,,,,
BFLS,,,,,,,,,,,,
BIIB,,,,,,,,,,,,
BHTG,,,,,,,,,,,,
BIOL,,,,,,,,,,,,
BLFS,,,,,,,,,,,,
BLGX,,,,,,,,,,,,
BMRN,,,,,,,,,,,,
BMRA,,,,,,,,,,,,
BNET,,,,,,,,,,,,
BNKL,,,,,,,,,,,,
BRTX,,,,,,,,,,,,
BIOS,,,,,,,,,,,,
BSRC,,,,,,,,,,,,
BSTC,,,,,,,,,,,,
BSTG,,,,,,,,,,,,
BSPM,,,,,,,,,,,,
BEAT,,,,,,,,,,,,
BTX,,,,,,,,,,,,
BTX.WS,,,,,,,,,,,,
BTCY,,,,,,,,,,,,
BIVI,,,,,,,,,,,,
BIZM,,,,,,,,,,,,
BGI,,,,,,,,,,,,
BCACR,,,,,,,,,,,,
BCAC,,,,,,,,,,,,
BCACU,,,,,,,,,,,,
BCACW,,,,,,,,,,,,
BITA,,,,,,,,,,,,
BTZO,,,,,,,,,,,,
BJRI,,,,,,,,,,,,
BBOX,,,,,,,,,,,,
BKI,,,,,,,,,,,,
BRAC,,,,,,,,,,,,
BRACW,,,,,,,,,,,,
BRACU,,,,,,,,,,,,
BRACR,,,,,,,,,,,,
BSM,,,,,,,,,,,,
BLKB,,,,,,,,,,,,
BB,,,,,,,,,,,,
BLCK,,,,,,,,,,,,
HAWK,,,,,,,,,,,,
BL,,,,,,,,,,,,
BRTI,,,,,,,,,,,,
BLK,,,,,,,,,,,,
BLNK,,,,,,,,,,,,
BLNKW,,,,,,,,,,,,
BDR,,,,,,,,,,,,
BLMN,,,,,,,,,,,,
BDIC,,,,,,,,,,,,
BLXX,,,,,,,,,,,,
BCOR,,,,,,,,,,,,
APRN,,,,,,,,,,,,
BLBD,,,,,,,,,,,,
BLBDW,,,,,,,,,,,,
BCYP,,,,,,,,,,,,
BCRH,,,,,,,,,,,,
BHBK,,,,,,,,,,,,
BLPG,,,,,,,,,,,,
BRRE,,,,,,,,,,,,
BLSP,,,,,,,,,,,,
BLUU,,,,,,,,,,,,
BLUE,,,,,,,,,,,,
BFRE,,,,,,,,,,,,
BXC,,,,,,,,,,,,
BRG-C,,,,,,,,,,,,
BRG-D,,,,,,,,,,,,
BRG^D,,,,,,,,,,,,
BRG^A,,,,,,,,,,,,
BRG^C,,,,,,,,,,,,
BRG,,,,,,,,,,,,
BMCH,,,,,,,,,,,,
BNTT,,,,,,,,,,,,
BWP,,,,,,,,,,,,
BOFI,,,,,,,,,,,,
BOFIL,,,,,,,,,,,,
WIFI,,,,,,,,,,,,
BOLB,,,,,,,,,,,,
BOLC,,,,,,,,,,,,
BCEI,,,,,,,,,,,,
BNSO,,,,,,,,,,,,
BOOT,,,,,,,,,,,,
BAH,,,,,,,,,,,,
BWA,,,,,,,,,,,,
BRNE,,,,,,,,,,,,
BRQS,,,,,,,,,,,,
BSTN,,,,,,,,,,,,
BPFH,,,,,,,,,,,,
BPFHW,,,,,,,,,,,,
BPFHP,,,,,,,,,,,,
BXP-B,,,,,,,,,,,,
BXP,,,,,,,,,,,,
BXP^B,,,,,,,,,,,,
BSX,,,,,,,,,,,,
BVX,,,,,,,,,,,,
BWL.A,,,,,,,,,,,,
BOX,,,,,,,,,,,,
TEUFF,,,,,,,,,,,,
TEUCF,,,,,,,,,,,,
